day,hl_5r,5r,high_all,high_500,high_250,hl_amo,amo,ma377_support,ma250_support,label
2025-10-24,128,242,126,0,4,18,96,0,859,314
2025-10-27,70,87,165,0,7,22,119,0,808,356
2025-10-28,37,14,158,0,6,34,141,0,786,381
2025-10-29,32,78,164,0,11,15,95,0,724,405
2025-10-30,18,43,169,0,14,26,124,0,679,387
2025-10-31,17,29,131,0,5,52,165,0,732,423
2025-11-03,14,45,122,0,13,32,104,0,722,447
2025-11-04,8,26,140,0,17,19,82,0,722,404
2025-11-05,13,49,153,0,18,18,105,0,795,446
2025-11-06,41,175,202,0,21,25,110,0,824,565
2025-11-07,21,50,200,0,15,20,133,0,813,655
2025-11-10,17,33,209,0,20,31,143,0,788,657
2025-11-11,53,188,184,0,10,24,107,0,721,730
2025-11-12,15,19,180,0,14,16,102,0,690,642
2025-11-13,24,88,240,0,7,18,122,0,773,742
2025-11-14,26,68,224,0,12,23,120,0,749,760
2025-11-17,15,34,180,0,9,22,74,0,719,689
2025-11-18,4,31,126,0,6,26,81,0,676,437
2025-11-19,15,21,82,0,6,17,87,0,582,339
2025-11-20,2,2,92,0,6,23,71,0,497,232
2025-11-21,3,10,43,0,1,12,64,0,300,113
2025-11-24,2,4,41,0,1,19,53,0,512,108
2025-11-25,9,8,57,0,3,25,62,0,647,128
2025-11-26,8,9,67,0,6,23,74,0,850,115
2025-11-27,8,14,64,0,5,27,78,0,1004,131
2025-11-28,89,120,64,0,8,24,83,0,1012,160
2025-12-01,77,44,74,0,9,57,151,0,933,182
2025-12-02,23,27,67,0,11,14,56,0,924,211
2025-12-03,22,67,87,0,7,19,82,0,858,190
2025-12-04,8,29,68,0,6,37,98,0,711,186
2025-12-05,8,12,77,0,2,37,109,0,858,223
2025-12-08,8,27,133,0,11,27,98,0,862,243
2025-12-09,17,22,107,0,6,31,107,0,833,266
2025-12-10,41,72,102,0,5,31,111,0,862,328
2025-12-11,14,27,105,0,9,24,93,0,614,269
2025-12-12,9,15,94,0,8,55,188,0,591,273
2025-12-15,6,10,103,0,5,29,82,0,734,252
2025-12-16,3,10,58,0,7,43,75,0,693,221
2025-12-17,3,9,57,0,5,27,70,0,812,221
2025-12-18,20,50,72,0,9,29,95,0,853,230
2025-12-19,29,73,73,0,8,30,89,0,812,231
2025-12-22,32,27,101,0,11,39,110,0,809,243
2025-12-23,78,123,104,0,13,27,97,0,858,280
2025-12-24,75,26,112,0,4,39,107,0,899,330
2025-12-25,86,69,153,0,11,49,136,0,851,382
2025-12-26,48,26,162,0,13,37,123,0,841,399
2025-12-29,19,19,157,0,12,50,153,0,877,404
2025-12-30,47,95,129,0,11,40,119,0,777,441
2025-12-31,16,12,127,0,11,41,114,0,718,394
2026-01-05,12,15,167,0,17,99,281,0,800,443
2026-01-06,43,56,229,0,27,44,202,0,803,495
2026-01-07,37,66,276,0,27,44,188,0,794,543
2026-01-08,67,104,247,0,26,56,182,0,873,616
2026-01-09,135,213,332,0,32,31,203,0,837,717
2026-01-12,103,94,443,0,52,60,296,0,718,823
2026-01-13,32,35,339,0,48,50,209,0,788,727
2026-01-14,60,115,290,0,42,40,182,0,783,724
2026-01-15,17,29,207,0,26,13,64,0,797,736
2026-01-16,5,15,245,0,32,23,124,0,674,719
2026-01-19,4,24,278,0,26,14,81,0,701,658
2026-01-20,9,61,254,0,23,24,107,0,697,673
2026-01-21,15,114,264,0,27,17,82,0,741,770
2026-01-22,16,45,314,0,34,7,92,0,771,818
2026-01-23,45,222,336,0,26,17,131,0,738,881
2026-01-26,12,16,366,0,44,26,159,0,658,702
2026-01-27,10,68,223,0,20,9,65,0,644,795
2026-01-28,3,27,270,0,28,15,93,0,528,663
2026-01-29,1,9,276,0,25,21,103,395,541,525
2026-01-30,1,17,129,0,18,14,72,387,595,432
2026-02-02,0,10,81,0,11,8,40,342,558,237
2026-02-03,0,10,92,0,8,9,28,427,650,284
2026-02-04,7,28,168,0,19,5,56,452,690,274
2026-02-05,14,42,98,0,21,25,80,495,717,266
2026-02-06,16,28,101,0,16,16,48,549,788,281
2026-02-09,94,135,158,0,22,15,70,546,807,370
2026-02-10,56,24,167,0,22,17,105,510,758,366
2026-02-11,27,41,165,0,21,9,59,498,775,325
2026-02-12,29,120,161,0,13,10,62,480,752,363
2026-02-13,20,22,131,0,10,8,34,400,644,349
2026-02-24,8,17,189,0,24,13,67,433,692,404
2026-02-25,9,37,251,0,37,17,119,473,715,455
2026-02-26,15,50,286,0,28,15,114,455,691,529
2026-02-27,22,59,259,0,30,24,124,505,744,639
2026-03-02,34,185,295,0,39,39,185,386,531,637
